Line,Conference,Team,Year,NCAA,Sagarin Rank,Sagarin Rating,RPI,Games,FGM,FGA,3FGM,3FGA,FTM,FTA,OREB,DREB,PF,Assists,TO,Blocks,Steals,Points,O-FGM,O-FGA,O-3FGM,O-3FGA,O-FTM,O-FTA,O-OREB,O-DREB,O-PF,O-Assists,O-TO,O-Blocks,O-Steals,O-Points,FGMPerGame,FGAPerGame,3FGMPerGame,3FGAPerGame,FTMPerGame,FTAPerGame,OREBPerGame,DREBPerGame,PFPerGame,AssistsPerGame,TOPerGame,BlocksPerGame,StealsPerGame,PointsPerGame,O-FGMPerGame,O-FGAPerGame,O-3FGMPerGame,O-3FGAPerGame,O-FTMPerGame,O-FTAPerGame,O-OREBPerGame,O-DREBPerGame,O-PFPerGame,O-AssistsPerGame,O-TOPerGame,O-BlocksPerGame,O-StealsPerGame,O-PointsPerGame,AssistsTORatio,PossessionsPerGame,O-PossessionsPerGame
11,ACC,Virginia Tech,2012,0,78,79.53,0.5319,33,754,1797,205,562,434,599,369,742,581,386,391,107,183,2147,733,1757,155,554,436,627,381,744,545,339,415,129,169,2057,22.84848485,54.45454545,6.212121212,17.03030303,13.15151515,18.15151515,11.18181818,22.48484848,17.60606061,11.6969697,11.84848485,3.242424242,5.545454545,65.06060606,22.21212121,53.24242424,4.696969697,16.78787879,13.21212121,19,11.54545455,22.54545455,16.51515152,10.27272727,12.57575758,3.909090909,5.121212121,62.33333333,0.987212276,61.19345455,60.76581818
12,ACC,Wake Forest,2012,0,188,71.27,0.4895,31,689,1613,166,499,485,659,262,732,518,363,394,142,162,2029,791,1795,219,617,381,552,371,754,592,417,375,144,201,2182,22.22580645,52.03225806,5.35483871,16.09677419,15.64516129,21.25806452,8.451612903,23.61290323,16.70967742,11.70967742,12.70967742,4.580645161,5.225806452,65.4516129,25.51612903,57.90322581,7.064516129,19.90322581,12.29032258,17.80645161,11.96774194,24.32258065,19.09677419,13.4516129,12.09677419,4.64516129,6.483870968,70.38709677,0.921319797,63.7323871,63.83070968
13,BIG 10,Illinois,2012,0,63,80.89,0.5449,32,767,1741,186,611,378,529,320,725,565,400,430,132,162,2098,712,1659,208,549,423,601,298,704,548,379,425,78,200,2055,23.96875,54.40625,5.8125,19.09375,11.8125,16.53125,10,22.65625,17.65625,12.5,13.4375,4.125,5.0625,65.5625,22.25,51.84375,6.5,17.15625,13.21875,18.78125,9.3125,22,17.125,11.84375,13.28125,2.4375,6.25,64.21875,0.930232558,63.06825,62.14425
14,BIG 10,Indiana,2012,1,9,89.47,0.6174,36,949,1928,229,531,655,858,383,857,632,487,463,115,233,2782,847,1988,219,628,479,682,391,703,730,376,482,146,241,2392,26.36111111,53.55555556,6.361111111,14.75,18.19444444,23.83333333,10.63888889,23.80555556,17.55555556,13.52777778,12.86111111,3.194444444,6.472222222,77.27777778,23.52777778,55.22222222,6.083333333,17.44444444,13.30555556,18.94444444,10.86111111,19.52777778,20.27777778,10.44444444,13.38888889,4.055555556,6.694444444,66.44444444,1.051835853,64.41466667,64.07866667
15,BIG 10,Iowa,2012,0,88,78.81,0.5209,35,902,1984,201,539,550,763,399,806,590,521,433,119,262,2555,910,1993,244,707,473,648,381,812,651,515,473,111,193,2537,25.77142857,56.68571429,5.742857143,15.4,15.71428571,21.8,11.4,23.02857143,16.85714286,14.88571429,12.37142857,3.4,7.485714286,73,26,56.94285714,6.971428571,20.2,13.51428571,18.51428571,10.88571429,23.2,18.6,14.71428571,13.51428571,3.171428571,5.514285714,72.48571429,1.203233256,65.29165714,65.63108571
16,BIG 10,Michigan,2012,1,25,84.99,0.6215,34,808,1777,276,788,363,503,291,756,530,431,370,72,168,2255,756,1768,203,588,375,526,329,747,539,384,424,84,189,2090,23.76470588,52.26470588,8.117647059,23.17647059,10.67647059,14.79411765,8.558823529,22.23529412,15.58823529,12.67647059,10.88235294,2.117647059,4.941176471,66.32352941,22.23529412,52,5.970588235,17.29411765,11.02941176,15.47058824,9.676470588,21.97058824,15.85294118,11.29411765,12.47058824,2.470588235,5.558823529,61.47058824,1.164864865,59.15082353,59.65694118
17,BIG 10,Michigan State,2012,1,5,91.9,0.6596,37,960,2013,200,555,531,759,427,976,650,566,480,157,265,2651,751,1981,214,715,479,681,364,742,676,394,467,109,231,2195,25.94594595,54.40540541,5.405405405,15,14.35135135,20.51351351,11.54054054,26.37837838,17.56756757,15.2972973,12.97297297,4.243243243,7.162162162,71.64864865,20.2972973,53.54054054,5.783783784,19.32432432,12.94594595,18.40540541,9.837837838,20.05405405,18.27027027,10.64864865,12.62162162,2.945945946,6.243243243,59.32432432,1.179166667,62.95848649,62.46421622
18,BIG 10,Minnesota,2012,0,41,82.89,0.5492,38,915,1979,203,571,536,769,435,890,703,573,558,186,269,2569,842,2033,246,711,532,746,425,759,702,445,492,141,297,2462,24.07894737,52.07894737,5.342105263,15.02631579,14.10526316,20.23684211,11.44736842,23.42105263,18.5,15.07894737,14.68421053,4.894736842,7.078947368,67.60526316,22.15789474,53.5,6.473684211,18.71052632,14,19.63157895,11.18421053,19.97368421,18.47368421,11.71052632,12.94736842,3.710526316,7.815789474,64.78947368,1.02688172,62.33115789,62.00463158
19,BIG 10,Nebraska,2012,0,133,75.2,0.5065,30,649,1521,194,599,335,437,254,647,496,381,398,78,198,1827,696,1533,218,596,359,509,262,670,450,373,374,80,192,1969,21.63333333,50.7,6.466666667,19.96666667,11.16666667,14.56666667,8.466666667,21.56666667,16.53333333,12.7,13.26666667,2.6,6.6,60.9,23.2,51.1,7.266666667,19.86666667,11.96666667,16.96666667,8.733333333,22.33333333,15,12.43333333,12.46666667,2.666666667,6.4,65.63333333,0.957286432,59.9224,60.3768
20,BIG 10,Northwestern,2012,0,67,80.43,0.5702,33,790,1754,297,771,409,592,279,685,526,512,335,124,219,2286,825,1826,232,653,370,532,401,781,591,502,422,99,173,2252,23.93939394,53.15151515,9,23.36363636,12.39393939,17.93939394,8.454545455,20.75757576,15.93939394,15.51515152,10.15151515,3.757575758,6.636363636,69.27272727,25,55.33333333,7.03030303,19.78787879,11.21212121,16.12121212,12.15151515,23.66666667,17.90909091,15.21212121,12.78787879,3,5.242424242,68.24242424,1.528358209,60.83490909,61.08218182
