Line,Conference,Team,Year,NCAA,Sagarin Rank,Sagarin Rating,RPI,Games,FGM,FGA,3FGM,3FGA,FTM,FTA,OREB,DREB,PF,Assists,TO,Blocks,Steals,Points,O-FGM,O-FGA,O-3FGM,O-3FGA,O-FTM,O-FTA,O-OREB,O-DREB,O-PF,O-Assists,O-TO,O-Blocks,O-Steals,O-Points,FGMPerGame,FGAPerGame,3FGMPerGame,3FGAPerGame,FTMPerGame,FTAPerGame,OREBPerGame,DREBPerGame,PFPerGame,AssistsPerGame,TOPerGame,BlocksPerGame,StealsPerGame,PointsPerGame,O-FGMPerGame,O-FGAPerGame,O-3FGMPerGame,O-3FGAPerGame,O-FTMPerGame,O-FTAPerGame,O-OREBPerGame,O-DREBPerGame,O-PFPerGame,O-AssistsPerGame,O-TOPerGame,O-BlocksPerGame,O-StealsPerGame,O-PointsPerGame,AssistsTORatio,PossessionsPerGame,O-PossessionsPerGame
41,BIG EAST,Notre Dame,2012,1,44,82.66,0.5839,34,781,1800,221,665,474,673,345,799,470,497,342,114,177,2257,791,1912,168,535,345,489,381,786,607,421,367,98,186,2097,22.97058824,52.94117647,6.5,19.55882353,13.94117647,19.79411765,10.14705882,23.5,13.82352941,14.61764706,10.05882353,3.352941176,5.205882353,66.38235294,23.26470588,56.23529412,4.941176471,15.73529412,10.14705882,14.38235294,11.20588235,23.11764706,17.85294118,12.38235294,10.79411765,2.882352941,5.470588235,61.67647059,1.453216374,59.76494118,60.14894118
42,BIG EAST,Pittsburgh,2012,0,59,81.21,0.5432,39,981,2164,247,707,483,691,532,875,671,593,495,103,183,2692,915,2077,229,686,495,694,393,765,641,517,431,154,235,2554,25.15384615,55.48717949,6.333333333,18.12820513,12.38461538,17.71794872,13.64102564,22.43589744,17.20512821,15.20512821,12.69230769,2.641025641,4.692307692,69.02564103,23.46153846,53.25641026,5.871794872,17.58974359,12.69230769,17.79487179,10.07692308,19.61538462,16.43589744,13.25641026,11.05128205,3.948717949,6.025641026,65.48717949,1.197979798,60.43630769,60.176
43,BIG EAST,Providence,2012,0,121,76.2,0.5045,32,772,1807,158,447,501,711,410,771,542,435,391,166,170,2203,808,1908,212,628,388,567,426,726,589,466,352,147,187,2216,24.125,56.46875,4.9375,13.96875,15.65625,22.21875,12.8125,24.09375,16.9375,13.59375,12.21875,5.1875,5.3125,68.84375,25.25,59.625,6.625,19.625,12.125,17.71875,13.3125,22.6875,18.40625,14.5625,11,4.59375,5.84375,69.25,1.112531969,63.77175,63.09975
44,BIG EAST,Rutgers,2012,0,117,76.77,0.5019,32,764,1802,169,504,398,571,406,694,673,407,475,122,261,2095,689,1640,202,599,526,760,379,709,546,427,502,132,211,2106,23.875,56.3125,5.28125,15.75,12.4375,17.84375,12.6875,21.6875,21.03125,12.71875,14.84375,3.8125,8.15625,65.46875,21.53125,51.25,6.3125,18.71875,16.4375,23.75,11.84375,22.15625,17.0625,13.34375,15.6875,4.125,6.59375,65.8125,0.856842105,64.26675,63.72
45,BIG EAST,St. Johns,2012,0,143,74.56,0.5036,32,757,1803,130,461,485,713,400,697,533,345,423,119,255,2129,830,1885,234,691,374,541,452,763,607,516,464,142,214,2268,23.65625,56.34375,4.0625,14.40625,15.15625,22.28125,12.5,21.78125,16.65625,10.78125,13.21875,3.71875,7.96875,66.53125,25.9375,58.90625,7.3125,21.59375,11.6875,16.90625,14.125,23.84375,18.96875,16.125,14.5,4.4375,6.6875,70.875,0.815602837,64.94025,64.61925
46,BIG EAST,Seton Hall,2012,0,60,80.98,0.5693,34,833,1913,236,668,422,627,381,813,604,476,431,107,284,2324,757,1836,193,636,463,645,357,802,589,415,493,165,201,2170,24.5,56.26470588,6.941176471,19.64705882,12.41176471,18.44117647,11.20588235,23.91176471,17.76470588,14,12.67647059,3.147058824,8.352941176,68.35294118,22.26470588,54,5.676470588,18.70588235,13.61764706,18.97058824,10.5,23.58823529,17.32352941,12.20588235,14.5,4.852941176,5.911764706,63.82352941,1.104408353,63.83505882,64.33058824
47,BIG EAST,South Florida,2012,1,50,82.02,0.5763,36,772,1765,169,534,421,597,374,859,552,423,485,137,200,2134,721,1866,179,600,416,589,373,720,586,402,397,118,248,2037,21.44444444,49.02777778,4.694444444,14.83333333,11.69444444,16.58333333,10.38888889,23.86111111,15.33333333,11.75,13.47222222,3.805555556,5.555555556,59.27777778,20.02777778,51.83333333,4.972222222,16.66666667,11.55555556,16.36111111,10.36111111,20,16.27777778,11.16666667,11.02777778,3.277777778,6.888888889,56.58333333,0.872164948,57.58866667,57.86066667
48,BIG EAST,Syracuse,2012,1,4,92.15,0.6667,37,1006,2156,233,668,495,709,459,824,574,565,389,255,338,2742,795,2064,235,747,432,639,540,807,638,496,591,100,195,2257,27.18918919,58.27027027,6.297297297,18.05405405,13.37837838,19.16216216,12.40540541,22.27027027,15.51351351,15.27027027,10.51351351,6.891891892,9.135135135,74.10810811,21.48648649,55.78378378,6.351351351,20.18918919,11.67567568,17.27027027,14.59459459,21.81081081,17.24324324,13.40540541,15.97297297,2.702702703,5.27027027,61,1.452442159,62.86118919,62.75091892
49,BIG EAST,West Virginia,2012,1,46,82.39,0.5736,33,838,1914,174,583,496,739,493,767,555,477,422,85,210,2346,815,1816,179,554,385,567,331,711,680,412,443,110,236,2194,25.39393939,58,5.272727273,17.66666667,15.03030303,22.39393939,14.93939394,23.24242424,16.81818182,14.45454545,12.78787879,2.575757576,6.363636364,71.09090909,24.6969697,55.03030303,5.424242424,16.78787879,11.66666667,17.18181818,10.03030303,21.54545455,20.60606061,12.48484848,13.42424242,3.333333333,7.151515152,66.48484848,1.130331754,63.82618182,63.92218182
50,BIG EAST,Villanova,2012,0,85,79.1,0.5279,32,762,1848,196,622,546,724,441,811,613,394,447,101,178,2266,781,1886,230,676,466,654,381,732,634,443,377,124,217,2258,23.8125,57.75,6.125,19.4375,17.0625,22.625,13.78125,25.34375,19.15625,12.3125,13.96875,3.15625,5.5625,70.8125,24.40625,58.9375,7.1875,21.125,14.5625,20.4375,11.90625,22.875,19.8125,13.84375,11.78125,3.875,6.78125,70.5625,0.881431767,65.937,65.7795
51,PAC 12,Arizona,2012,0,53,81.62,0.5582,35,795,1812,258,683,568,806,349,888,588,473,436,122,195,2416,799,1969,170,596,428,644,380,793,667,403,415,108,198,2196,22.71428571,51.77142857,7.371428571,19.51428571,16.22857143,23.02857143,9.971428571,25.37142857,16.8,13.51428571,12.45714286,3.485714286,5.571428571,69.02857143,22.82857143,56.25714286,4.857142857,17.02857143,12.22857143,18.4,10.85714286,22.65714286,19.05714286,11.51428571,11.85714286,3.085714286,5.657142857,62.74285714,1.084862385,62.58788571,63.35725714
52,PAC 12,Arizona State,2012,0,206,70.12,0.4514,31,654,1439,181,497,402,594,262,713,548,377,505,123,173,1891,701,1626,211,574,443,623,307,622,553,421,349,77,230,2056,21.09677419,46.41935484,5.838709677,16.03225806,12.96774194,19.16129032,8.451612903,23,17.67741935,12.16129032,16.29032258,3.967741935,5.580645161,61,22.61290323,52.4516129,6.806451613,18.51612903,14.29032258,20.09677419,9.903225806,20.06451613,17.83870968,13.58064516,11.25806452,2.483870968,7.419354839,66.32258065,0.746534653,60.82529032,60.81832258
53,PAC 12,California,2012,1,32,84.43,0.5853,34,893,1878,156,430,477,641,341,841,489,540,411,106,159,2419,786,1893,186,568,346,505,315,722,599,386,438,84,169,2104,26.26470588,55.23529412,4.588235294,12.64705882,14.02941176,18.85294118,10.02941176,24.73529412,14.38235294,15.88235294,12.08823529,3.117647059,4.676470588,71.14705882,23.11764706,55.67647059,5.470588235,16.70588235,10.17647059,14.85294118,9.264705882,21.23529412,17.61764706,11.35294118,12.88235294,2.470588235,4.970588235,61.88235294,1.313868613,63.59929412,63.69529412
54,PAC 12,Colorado,2012,1,72,80.11,0.5716,36,835,1874,199,572,560,810,351,938,614,422,468,117,210,2429,812,2009,229,703,416,642,366,816,642,392,444,137,227,2269,23.19444444,52.05555556,5.527777778,15.88888889,15.55555556,22.5,9.75,26.05555556,17.05555556,11.72222222,13,3.25,5.833333333,67.47222222,22.55555556,55.80555556,6.361111111,19.52777778,11.55555556,17.83333333,10.16666667,22.66666667,17.83333333,10.88888889,12.33333333,3.805555556,6.305555556,63.02777778,0.901709402,63.35333333,63.78533333
55,PAC 12,Oregon,2012,0,51,81.96,0.5705,34,883,1884,246,658,515,726,360,801,583,485,438,121,204,2527,860,1962,203,594,418,617,376,729,655,429,428,109,203,2341,25.97058824,55.41176471,7.235294118,19.35294118,15.14705882,21.35294118,10.58823529,23.55882353,17.14705882,14.26470588,12.88235294,3.558823529,6,74.32352941,25.29411765,57.70588235,5.970588235,17.47058824,12.29411765,18.14705882,11.05882353,21.44117647,19.26470588,12.61764706,12.58823529,3.205882353,5.970588235,68.85294118,1.107305936,65.13458824,65.14094118
56,PAC 12,Oregon State,2012,0,80,79.43,0.5198,36,995,2093,221,616,630,931,421,833,672,567,507,166,328,2841,932,2047,237,611,516,771,422,824,755,470,598,112,229,2617,27.63888889,58.13888889,6.138888889,17.11111111,17.5,25.86111111,11.69444444,23.13888889,18.66666667,15.75,14.08333333,4.611111111,9.111111111,78.91666667,25.88888889,56.86111111,6.583333333,16.97222222,14.33333333,21.41666667,11.72222222,22.88888889,20.97222222,13.05555556,16.61111111,3.111111111,6.361111111,72.69444444,1.118343195,69.89933333,69.046
57,PAC 12,Southern Cal,2012,0,211,69.91,0.4377,32,642,1658,127,469,272,446,256,610,476,305,341,65,184,1683,686,1579,160,469,378,524,338,822,492,359,481,95,149,1910,20.0625,51.8125,3.96875,14.65625,8.5,13.9375,8,19.0625,14.875,9.53125,10.65625,2.03125,5.75,52.59375,21.4375,49.34375,5,14.65625,11.8125,16.375,10.5625,25.6875,15.375,11.21875,15.03125,2.96875,4.65625,59.6875,0.894428152,58.6455,59.127
58,PAC 12,Stanford,2012,0,29,84.62,0.5424,37,938,2107,252,665,529,794,452,923,717,476,512,126,246,2657,821,1987,207,618,488,751,362,840,708,396,560,143,245,2337,25.35135135,56.94594595,6.810810811,17.97297297,14.2972973,21.45945946,12.21621622,24.94594595,19.37837838,12.86486486,13.83783784,3.405405405,6.648648649,71.81081081,22.18918919,53.7027027,5.594594595,16.7027027,13.18918919,20.2972973,9.783783784,22.7027027,19.13513514,10.7027027,15.13513514,3.864864865,6.621621622,63.16216216,0.9296875,66.01037838,65.94745946
59,PAC 12,UCLA,2012,0,58,81.25,0.5232,33,848,1838,169,453,398,596,363,777,560,473,395,153,260,2263,723,1734,196,538,421,601,322,722,533,378,452,76,188,2063,25.6969697,55.6969697,5.121212121,13.72727273,12.06060606,18.06060606,11,23.54545455,16.96969697,14.33333333,11.96969697,4.636363636,7.878787879,68.57575758,21.90909091,52.54545455,5.939393939,16.3030303,12.75757576,18.21212121,9.757575758,21.87878788,16.15151515,11.45454545,13.6969697,2.303030303,5.696969697,62.51515152,1.197468354,62.63563636,62.53018182
60,PAC 12,Washington,2012,0,47,82.37,0.5657,35,966,2157,217,633,497,798,510,894,691,475,460,233,139,2646,866,2053,203,620,518,789,412,811,631,440,482,196,128,2453,27.6,61.62857143,6.2,18.08571429,14.2,22.8,14.57142857,25.54285714,19.74285714,13.57142857,13.14285714,6.657142857,3.971428571,75.6,24.74285714,58.65714286,5.8,17.71428571,14.8,22.54285714,11.77142857,23.17142857,18.02857143,12.57142857,13.77142857,5.6,3.657142857,70.08571429,1.032608696,68.1888,68.5104
61,PAC 12,Washington State,2012,0,83,79.29,0.4877,37,860,1836,228,623,573,808,339,875,643,505,485,103,178,2521,839,1969,257,735,486,723,385,757,704,502,435,105,226,2421,23.24324324,49.62162162,6.162162162,16.83783784,15.48648649,21.83783784,9.162162162,23.64864865,17.37837838,13.64864865,13.10810811,2.783783784,4.810810811,68.13513514,22.67567568,53.21621622,6.945945946,19.86486486,13.13513514,19.54054054,10.40540541,20.45945946,19.02702703,13.56756757,11.75675676,2.837837838,6.108108108,65.43243243,1.041237113,61.38291892,61.29535135
62,SEC,Alabama,2012,1,30,84.58,0.5883,33,778,1722,136,470,443,623,352,806,607,402,423,137,239,2135,666,1711,164,568,422,654,373,699,539,343,442,118,181,1918,23.57575758,52.18181818,4.121212121,14.24242424,13.42424242,18.87878788,10.66666667,24.42424242,18.39393939,12.18181818,12.81818182,4.151515152,7.242424242,64.6969697,20.18181818,51.84848485,4.96969697,17.21212121,12.78787879,19.81818182,11.3030303,21.18181818,16.33333333,10.39393939,13.39393939,3.575757576,5.484848485,58.12121212,0.95035461,60.76872727,60.81890909
63,SEC,Arkansas,2012,0,110,77.15,0.5332,32,808,1860,205,580,478,692,363,719,618,436,415,160,265,2299,793,1827,190,585,455,673,416,788,593,403,519,153,178,2231,25.25,58.125,6.40625,18.125,14.9375,21.625,11.34375,22.46875,19.3125,13.625,12.96875,5,8.28125,71.84375,24.78125,57.09375,5.9375,18.28125,14.21875,21.03125,13,24.625,18.53125,12.59375,16.21875,4.78125,5.5625,69.71875,1.05060241,67.221,67.49025
64,SEC,Auburn,2012,0,145,74.46,0.5122,31,696,1669,156,517,394,608,338,725,573,386,420,149,199,1942,675,1651,203,584,430,627,355,738,548,382,440,120,221,1983,22.4516129,53.83870968,5.032258065,16.67741935,12.70967742,19.61290323,10.90322581,23.38709677,18.48387097,12.4516129,13.5483871,4.806451613,6.419354839,62.64516129,21.77419355,53.25806452,6.548387097,18.83870968,13.87096774,20.22580645,11.4516129,23.80645161,17.67741935,12.32258065,14.19354839,3.870967742,7.129032258,63.96774194,0.919047619,63.168,62.98296774
65,SEC,Florida,2012,1,10,89.21,0.605,37,976,2106,357,939,499,700,416,905,575,551,410,124,233,2808,875,2067,226,661,428,618,391,826,666,451,464,110,189,2404,26.37837838,56.91891892,9.648648649,25.37837838,13.48648649,18.91891892,11.24324324,24.45945946,15.54054054,14.89189189,11.08108108,3.351351351,6.297297297,75.89189189,23.64864865,55.86486486,6.108108108,17.86486486,11.56756757,16.7027027,10.56756757,22.32432432,18,12.18918919,12.54054054,2.972972973,5.108108108,64.97297297,1.343902439,63.11351351,63.14075676
66,SEC,Georgia,2012,0,109,77.17,0.5389,32,692,1750,202,648,364,530,348,717,554,351,332,118,199,1950,681,1625,191,579,462,667,322,793,510,332,371,111,146,2015,21.625,54.6875,6.3125,20.25,11.375,16.5625,10.875,22.40625,17.3125,10.96875,10.375,3.6875,6.21875,60.9375,21.28125,50.78125,5.96875,18.09375,14.4375,20.84375,10.0625,24.78125,15.9375,10.375,11.59375,3.46875,4.5625,62.96875,1.057228916,59.5725,59.72475
67,SEC,Kentucky,2012,1,1,95.72,0.6652,40,1096,2248,225,595,678,938,487,1069,593,531,453,344,242,3095,889,2379,219,689,426,614,487,799,750,420,466,133,218,2423,27.4,56.2,5.625,14.875,16.95,23.45,12.175,26.725,14.825,13.275,11.325,8.6,6.05,77.375,22.225,59.475,5.475,17.225,10.65,15.35,12.175,19.975,18.75,10.5,11.65,3.325,5.45,60.575,1.17218543,63.8292,63.5916
68,SEC,LSU,2012,0,98,78.27,0.5527,33,791,1947,173,530,402,582,434,783,592,415,429,128,232,2157,745,1775,174,545,455,660,357,821,592,337,483,132,249,2119,23.96969697,59,5.242424242,16.06060606,12.18181818,17.63636364,13.15151515,23.72727273,17.93939394,12.57575758,13,3.878787879,7.03030303,65.36363636,22.57575758,53.78787879,5.272727273,16.51515152,13.78787879,20,10.81818182,24.87878788,17.93939394,10.21212121,14.63636364,4,7.545454545,64.21212121,0.967365967,64.53672727,64.42181818
69,SEC,Mississippi,2012,0,90,78.67,0.5722,33,785,1824,139,447,473,784,429,836,593,358,476,174,214,2182,756,1897,232,687,410,628,406,769,663,461,441,93,217,2154,23.78787879,55.27272727,4.212121212,13.54545455,14.33333333,23.75757576,13,25.33333333,17.96969697,10.84848485,14.42424242,5.272727273,6.484848485,66.12121212,22.90909091,57.48484848,7.03030303,20.81818182,12.42424242,19.03030303,12.3030303,23.3030303,20.09090909,13.96969697,13.36363636,2.818181818,6.575757576,65.27272727,0.75210084,65.26254545,64.88145455
70,SEC,Mississippi State,2012,0,77,79.73,0.5601,33,854,1880,233,653,436,614,359,849,457,441,396,116,198,2377,855,1976,211,604,315,466,341,778,555,363,354,92,212,2236,25.87878788,56.96969697,7.060606061,19.78787879,13.21212121,18.60606061,10.87878788,25.72727273,13.84848485,13.36363636,12,3.515151515,6,72.03030303,25.90909091,59.87878788,6.393939394,18.3030303,9.545454545,14.12121212,10.33333333,23.57575758,16.81818182,11,10.72727273,2.787878788,6.424242424,67.75757576,1.113636364,64.25163636,64.30109091
71,SEC,South Carolina,2012,0,160,73.63,0.4817,31,689,1713,204,625,321,458,383,587,561,309,396,151,212,1903,690,1546,196,517,439,624,353,679,474,420,440,135,185,2015,22.22580645,55.25806452,6.580645161,20.16129032,10.35483871,14.77419355,12.35483871,18.93548387,18.09677419,9.967741935,12.77419355,4.870967742,6.838709677,61.38709677,22.25806452,49.87096774,6.322580645,16.67741935,14.16129032,20.12903226,11.38709677,21.90322581,15.29032258,13.5483871,14.19354839,4.35483871,5.967741935,65,0.78030303,60.18735484,59.74916129
72,SEC,Tennessee,2012,0,74,80.07,0.5521,34,809,1847,229,649,491,699,382,862,628,436,466,149,192,2338,785,1905,181,532,465,673,372,773,632,372,407,131,244,2216,23.79411765,54.32352941,6.735294118,19.08823529,14.44117647,20.55882353,11.23529412,25.35294118,18.47058824,12.82352941,13.70588235,4.382352941,5.647058824,68.76470588,23.08823529,56.02941176,5.323529412,15.64705882,13.67647059,19.79411765,10.94117647,22.73529412,18.58823529,10.94117647,11.97058824,3.852941176,7.176470588,65.17647059,0.935622318,63.89717647,63.80258824
73,SEC,Vanderbilt,2012,1,19,86.89,0.6159,36,885,1921,307,792,538,770,373,871,580,458,476,144,214,2615,861,2055,206,667,411,588,407,782,658,405,452,128,251,2339,24.58333333,53.36111111,8.527777778,22,14.94444444,21.38888889,10.36111111,24.19444444,16.11111111,12.72222222,13.22222222,4,5.944444444,72.63888889,23.91666667,57.08333333,5.722222222,18.52777778,11.41666667,16.33333333,11.30555556,21.72222222,18.27777778,11.25,12.55555556,3.555555556,6.972222222,64.97222222,0.962184874,63.72666667,63.448
74,ACC,Boston College,2011,0,63,80.76,0.5711,34,856,1852,306,802,422,583,320,771,503,517,376,86,167,2440,875,1965,244,691,360,508,383,733,557,452,354,111,171,2356,25.17647059,54.47058824,9,23.58823529,12.41176471,17.14705882,9.411764706,22.67647059,14.79411765,15.20588235,11.05882353,2.529411765,4.911764706,71.76470588,25.73529412,57.79411765,7.176470588,20.32352941,10.58823529,14.94117647,11.26470588,21.55882353,16.38235294,13.29411765,10.41176471,3.264705882,5.029411765,69.29411765,1.375,61.692,61.47670588
75,ACC,Clemson,2011,1,39,84.09,0.5717,34,810,1827,217,630,493,703,384,793,624,445,449,161,272,2330,724,1801,193,583,445,627,382,740,641,382,517,105,226,2086,23.82352941,53.73529412,6.382352941,18.52941176,14.5,20.67647059,11.29411765,23.32352941,18.35294118,13.08823529,13.20588235,4.735294118,8,68.52941176,21.29411765,52.97058824,5.676470588,17.14705882,13.08823529,18.44117647,11.23529412,21.76470588,18.85294118,11.23529412,15.20588235,3.088235294,6.647058824,61.35294118,0.991091314,62.84964706,63.07270588
76,ACC,Duke,2011,1,3,92.53,0.6611,37,1040,2206,291,778,622,826,446,953,659,524,445,157,272,2993,896,2210,176,543,426,655,473,826,743,443,548,110,216,2394,28.10810811,59.62162162,7.864864865,21.02702703,16.81081081,22.32432432,12.05405405,25.75675676,17.81081081,14.16216216,12.02702703,4.243243243,7.351351351,80.89189189,24.21621622,59.72972973,4.756756757,14.67567568,11.51351351,17.7027027,12.78378378,22.32432432,20.08108108,11.97297297,14.81081081,2.972972973,5.837837838,64.7027027,1.17752809,67.3907027,67.35891892
77,ACC,Florida State,2011,1,29,85.09,0.5732,34,827,1903,212,634,482,725,422,910,651,423,541,203,288,2348,696,1918,233,761,484,696,403,764,675,383,517,109,251,2109,24.32352941,55.97058824,6.235294118,18.64705882,14.17647059,21.32352941,12.41176471,26.76470588,19.14705882,12.44117647,15.91176471,5.970588235,8.470588235,69.05882353,20.47058824,56.41176471,6.852941176,22.38235294,14.23529412,20.47058824,11.85294118,22.47058824,19.85294118,11.26470588,15.20588235,3.205882353,7.382352941,62.02941176,0.781885397,66.81529412,66.70870588
78,ACC,Georgia Tech,2011,0,115,76.04,0.4953,31,752,1855,192,643,406,589,394,707,639,408,424,126,297,2102,701,1592,196,517,481,719,290,781,563,394,514,83,200,2079,24.25806452,59.83870968,6.193548387,20.74193548,13.09677419,19,12.70967742,22.80645161,20.61290323,13.16129032,13.67741935,4.064516129,9.580645161,67.80645161,22.61290323,51.35483871,6.322580645,16.67741935,15.51612903,23.19354839,9.35483871,25.19354839,18.16129032,12.70967742,16.58064516,2.677419355,6.451612903,67.06451613,0.962264151,67.03819355,66.81367742
79,ACC,Maryland,2011,0,52,82.2,0.541,33,932,1980,151,434,521,770,424,863,549,557,450,150,222,2536,805,1994,210,649,411,591,402,759,641,426,495,119,200,2231,28.24242424,60,4.575757576,13.15151515,15.78787879,23.33333333,12.84848485,26.15151515,16.63636364,16.87878788,13.63636364,4.545454545,6.727272727,76.84848485,24.39393939,60.42424242,6.363636364,19.66666667,12.45454545,17.90909091,12.18181818,23,19.42424242,12.90909091,15,3.606060606,6.060606061,67.60606061,1.237777778,68.99636364,68.87927273
80,ACC,Miami,2011,0,61,80.99,0.5568,35,849,1898,281,735,536,738,413,859,630,411,479,124,198,2515,803,1944,241,678,507,732,390,747,652,437,415,113,242,2354,24.25714286,54.22857143,8.028571429,21,15.31428571,21.08571429,11.8,24.54285714,18,11.74285714,13.68571429,3.542857143,5.657142857,71.85714286,22.94285714,55.54285714,6.885714286,19.37142857,14.48571429,20.91428571,11.14285714,21.34285714,18.62857143,12.48571429,11.85714286,3.228571429,6.914285714,67.25714286,0.858037578,63.4848,63.54377143
81,ACC,North Carolina,2011,1,9,89.63,0.6483,37,1044,2318,190,580,590,878,525,1053,597,573,493,204,232,2868,948,2339,267,806,382,580,454,889,744,474,528,114,278,2545,28.21621622,62.64864865,5.135135135,15.67567568,15.94594595,23.72972973,14.18918919,28.45945946,16.13513514,15.48648649,13.32432432,5.513513514,6.27027027,77.51351351,25.62162162,63.21621622,7.216216216,21.78378378,10.32432432,15.67567568,12.27027027,24.02702703,20.10810811,12.81081081,14.27027027,3.081081081,7.513513514,68.78378378,1.162271805,70.13318919,69.75567568
82,ACC,NC State,2011,0,88,77.75,0.521,31,799,1818,139,423,454,654,400,752,533,442,376,138,191,2191,789,1862,163,509,443,602,407,728,533,362,360,138,193,2184,25.77419355,58.64516129,4.483870968,13.64516129,14.64516129,21.09677419,12.90322581,24.25806452,17.19354839,14.25806452,12.12903226,4.451612903,6.161290323,70.67741935,25.4516129,60.06451613,5.258064516,16.41935484,14.29032258,19.41935484,13.12903226,23.48387097,17.19354839,11.67741935,11.61290323,4.451612903,6.225806452,70.4516129,1.175531915,65.17625806,65.06167742
83,ACC,Virginia,2011,0,99,77.08,0.5114,31,668,1611,226,583,356,516,272,702,498,354,339,32,179,1918,705,1612,208,573,317,465,280,765,500,331,379,123,154,1935,21.5483871,51.96774194,7.290322581,18.80645161,11.48387097,16.64516129,8.774193548,22.64516129,16.06451613,11.41935484,10.93548387,1.032258065,5.774193548,61.87096774,22.74193548,52,6.709677419,18.48387097,10.22580645,15,9.032258065,24.67741935,16.12903226,10.67741935,12.22580645,3.967741935,4.967741935,62.41935484,1.044247788,59.55406452,59.82580645
84,ACC,Virginia Tech,2011,0,47,83.03,0.5695,34,834,1845,189,572,533,751,362,806,579,425,419,125,224,2390,771,1851,211,656,380,578,364,748,671,414,490,112,157,2133,24.52941176,54.26470588,5.558823529,16.82352941,15.67647059,22.08823529,10.64705882,23.70588235,17.02941176,12.5,12.32352941,3.676470588,6.588235294,70.29411765,22.67647059,54.44117647,6.205882353,19.29411765,11.17647059,17,10.70588235,22,19.73529412,12.17647059,14.41176471,3.294117647,4.617647059,62.73529412,1.014319809,63.77576471,63.57317647
85,ACC,Wake Forest,2011,0,246,66.92,0.4419,32,735,1736,184,513,497,666,285,756,594,362,494,174,170,2151,902,1978,223,602,442,641,414,797,587,506,394,96,261,2469,22.96875,54.25,5.75,16.03125,15.53125,20.8125,8.90625,23.625,18.5625,11.3125,15.4375,5.4375,5.3125,67.21875,28.1875,61.8125,6.96875,18.8125,13.8125,20.03125,12.9375,24.90625,18.34375,15.8125,12.3125,3,8.15625,77.15625,0.732793522,67.8405,67.87425
86,BIG 10,Illinois,2011,1,25,85.54,0.5772,34,894,1910,232,600,393,539,342,836,598,568,434,152,188,2413,780,1931,205,672,457,632,384,738,551,415,413,95,191,2222,26.29411765,56.17647059,6.823529412,17.64705882,11.55882353,15.85294118,10.05882353,24.58823529,17.58823529,16.70588235,12.76470588,4.470588235,5.529411765,70.97058824,22.94117647,56.79411765,6.029411765,19.76470588,13.44117647,18.58823529,11.29411765,21.70588235,16.20588235,12.20588235,12.14705882,2.794117647,5.617647059,65.35294118,1.30875576,63.756,63.81741176
87,BIG 10,Indiana,2011,0,103,76.87,0.4882,32,789,1713,189,546,459,632,339,710,685,393,415,84,201,2226,703,1622,202,555,574,815,317,702,620,377,413,118,207,2182,24.65625,53.53125,5.90625,17.0625,14.34375,19.75,10.59375,22.1875,21.40625,12.28125,12.96875,2.625,6.28125,69.5625,21.96875,50.6875,6.3125,17.34375,17.9375,25.46875,9.90625,21.9375,19.375,11.78125,12.90625,3.6875,6.46875,68.1875,0.946987952,62.676,63.15375
88,BIG 10,Iowa,2011,0,112,76.39,0.4856,31,766,1743,146,465,406,601,371,714,512,423,447,89,208,2084,768,1749,212,639,362,489,640,705,551,466,445,106,215,2110,24.70967742,56.22580645,4.709677419,15,13.09677419,19.38709677,11.96774194,23.03225806,16.51612903,13.64516129,14.41935484,2.870967742,6.709677419,67.22580645,24.77419355,56.41935484,6.838709677,20.61290323,11.67741935,15.77419355,20.64516129,22.74193548,17.77419355,15.03225806,14.35483871,3.419354839,6.935483871,68.06451613,0.946308725,65.17083871,55.31690323
89,BIG 10,Michigan,2011,1,32,84.86,0.5754,35,847,1889,283,804,351,502,289,866,587,480,351,69,168,2328,795,1854,222,696,375,553,335,843,580,451,409,100,150,2187,24.2,53.97142857,8.085714286,22.97142857,10.02857143,14.34285714,8.257142857,24.74285714,16.77142857,13.71428571,10.02857143,1.971428571,4.8,66.51428571,22.71428571,52.97142857,6.342857143,19.88571429,10.71428571,15.8,9.571428571,24.08571429,16.57142857,12.88571429,11.68571429,2.857142857,4.285714286,62.48571429,1.367521368,60.05348571,60.08708571
90,BIG 10,Michigan State,2011,1,45,83.36,0.5795,34,817,1894,220,620,484,691,407,849,648,509,454,167,219,2338,787,1861,215,591,474,716,347,772,607,404,411,112,217,2263,24.02941176,55.70588235,6.470588235,18.23529412,14.23529412,20.32352941,11.97058824,24.97058824,19.05882353,14.97058824,13.35294118,4.911764706,6.441176471,68.76470588,23.14705882,54.73529412,6.323529412,17.38235294,13.94117647,21.05882353,10.20588235,22.70588235,17.85294118,11.88235294,12.08823529,3.294117647,6.382352941,66.55882353,1.121145374,64.07223529,63.95576471
91,BIG 10,Minnesota,2011,0,57,81.51,0.5522,31,753,1660,152,474,479,726,397,783,504,487,413,169,211,2137,710,1780,265,767,391,521,362,659,619,456,355,93,210,2076,24.29032258,53.5483871,4.903225806,15.29032258,15.4516129,23.41935484,12.80645161,25.25806452,16.25806452,15.70967742,13.32258065,5.451612903,6.806451613,68.93548387,22.90322581,57.41935484,8.548387097,24.74193548,12.61290323,16.80645161,11.67741935,21.25806452,19.96774194,14.70967742,11.4516129,3,6.774193548,66.96774194,1.179176755,62.58116129,62.56954839
